,tsne-2d-one,tsne-2d-two
328,133.04051,53.32018
329,-16.154032,-62.479916
330,-8.473128,91.20862
331,-22.017706,-47.156364
332,-57.476376,-70.10854
333,28.336706,14.117981
334,-14.550658,74.67632
335,-61.211994,81.62457
336,20.059393,-102.625206
337,69.763664,-92.85136
338,-36.469013,-92.07357
339,52.667118,-95.15176
340,-43.97193,80.634865
341,-113.75218,12.638979
342,-16.291405,-41.410248
343,-108.97569,-31.810093
344,47.91762,-55.775166
345,117.04726,-45.189224
346,19.287426,-75.14098
347,94.32622,-53.05008
348,-1.729292,-68.21909
349,26.103336,0.93764496
350,-24.600372,-30.409113
351,1.3351747,-79.26337
352,28.606882,-97.88609
353,38.321148,-109.70217
354,-75.01868,-39.64945
355,-4.0994244,23.46165
356,-86.480446,-39.897438
357,-135.0133,-48.569595
358,-95.44183,5.497924
359,-81.322685,64.77768
360,100.44012,-8.252082
361,-19.859262,69.580605
362,-15.188073,-5.9981303
363,-80.530815,-66.2468
364,90.14569,-50.469673
365,71.83914,-19.85077
366,63.36331,-5.330326
367,-66.97007,126.3166
368,-31.039362,36.21203
369,11.652178,36.306244
370,-5.723886,-99.14267
371,-70.3387,20.68386
372,-37.638252,-18.70674
373,-9.277208,65.48006
374,-103.759315,-13.932424
375,81.66628,58.02187
376,80.5243,55.71886
377,-34.7068,44.42816
378,-2.4312503,-120.728806
379,9.358735,-123.4578
380,-1.0826824,-13.976261
381,72.946236,-102.01346
382,-92.58968,-31.071074
383,-38.360523,-22.320688
384,-38.163784,-22.448595
385,-38.53875,-22.326439
386,-37.717022,-19.346498
387,-38.616894,-22.32529
388,-4.7621756,-62.93954
389,117.92876,-51.76072
390,39.661804,4.2242446
391,-57.297676,-8.416037
392,35.56037,14.6357
393,-37.109093,86.39175
394,117.745445,-53.465282
395,-21.052568,75.15656
396,-89.36235,-35.151375
397,-72.46713,26.103754
398,-49.483826,44.36259
399,-68.0135,56.992264
400,7.6246753,102.75547
401,-112.08708,45.395844
402,-96.53484,-75.64086
403,-69.349014,-44.83672
404,67.3139,-14.403997
405,-20.381147,-120.465836
406,-37.82529,40.259716
407,29.281134,-53.8935
408,-7.999814,-29.095055
409,-30.358118,72.51585
410,-4.8517394,-64.5269
411,-5.098461,-64.601776
412,-38.73723,-88.13882
413,43.596004,-97.7109
414,-48.80168,28.538452
415,78.23032,-46.18514
416,117.84115,-51.961308
417,-102.6454,-36.497982
418,-67.79126,-4.4658175
419,40.004147,56.57076
420,-33.38218,-40.44078
421,37.929276,61.279957
422,55.00997,75.54427
423,-75.85506,66.659676
424,3.8400273,-14.463143
425,-8.841316,-79.960205
426,-83.91568,-15.498398
427,-71.78022,-36.113552
428,4.411872,47.66064
429,29.327261,-22.206533
430,51.49184,-50.65766
431,-67.32928,-19.799189
432,7.1507025,-52.738464
433,-85.932884,84.87931
434,-42.600315,-23.303526
435,35.362263,123.48584
436,51.852642,93.82052
437,100.66225,-91.97995
438,-108.46449,-67.14058
439,-3.5966952,-43.06014
440,53.351585,-98.847046
441,-6.8945775,-27.116058
442,24.52242,119.32747
443,-102.27189,-42.057602
444,15.997643,59.172016
445,34.605247,-15.802629
446,45.13743,-60.28335
447,70.018295,-99.2624
448,-84.42853,38.367783
449,-107.2794,23.790276
450,70.89599,-119.89582
451,-116.75088,-34.279278
452,99.37485,-98.7349
453,108.82404,-24.9203
454,-9.739684,-93.06832
455,-140.0634,-28.746664
456,-24.13653,106.21966
457,1.5982515,42.454334
